1;ValidEmail;EmptyString;EmptyString;3
2;ValidEmail;ValidPassword;SameAsPassword;3
3;EmptyString;ValidPassword;EmptyString;3
4;EmptyString;EmptyString;SameAsPassword;3
5;Without@;EmptyString;DifferentFromPassword;3
6;Without@;ValidPassword;EmptyString;2
7;WithoutDot;ValidPassword;DifferentFromPassword;3
8;WithoutDot;EmptyString;EmptyString;2
9;EmailAlreadyExists;EmptyString;SameAsPassword;2
10;EmailAlreadyExists;ValidPassword;DifferentFromPassword;2
11;NoDomainString;ValidPassword;SameAsPassword;2
12;NoDomainString;EmptyString;DifferentFromPassword;2
13;NoLocalString;EmptyString;EmptyString;2
14;NoLocalString;ValidPassword;SameAsPassword;2
15;Over69Chars;ValidPassword;EmptyString;2
16;Over69Chars;EmptyString;SameAsPassword;2
17;ValidEmail;~EmptyString;DifferentFromPassword;1
18;EmptyString;~ValidPassword;DifferentFromPassword;1
19;Without@;~EmptyString;SameAsPassword;1
20;WithoutDot;~ValidPassword;SameAsPassword;1
21;EmailAlreadyExists;~EmptyString;EmptyString;1
22;NoDomainString;~ValidPassword;EmptyString;1
23;NoLocalString;~EmptyString;DifferentFromPassword;1
24;Over69Chars;~ValidPassword;DifferentFromPassword;1
